""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000231964"	0.516742882914309	0.0733228580299127	1.7842666134411	0.0410941153511267	0.967220865912095	0.986565283230337
"ENSG00000231965"	0.494334975261679	0.37295548427786	2.57597333577269	0.14478235434296	0.884882714612033	0.938108053622591
"ENSG00000231991"	14.0375847228498	1.84848830447365	0.935357418202791	1.97623739171852	0.0481278967944764	0.146851787654941
"ENSG00000232274"	1.33722818886497	1.62490308181422	1.51040562723103	1.07580576536456	0.282014133288497	0.472671575511707
"ENSG00000232295"	260.341854311108	2.36461257786825	0.678670266972696	3.48418472554565	0.000493638657416806	0.00378987098274838
"ENSG00000232499"	8.06750703424408	-0.520164701224479	0.818437449915188	-0.635558283993948	0.525064366670178	0.696832635320645
"ENSG00000232677"	5.96461122326623	0.328428895803049	1.46852667166024	0.223645169094371	0.823033413892307	0.902690243820011
"ENSG00000232710"	10.4315461087286	0.989602751478094	0.529312620771413	1.86959976513664	0.0615394179254035	0.172988757475347
"ENSG00000232745"	16.4174804964682	-0.660381576962169	1.53577300741254	-0.429999468524827	0.667196027800457	0.791325521344728
"ENSG00000232906"	4.37571896606155	1.7592936737329	0.869820877294579	2.02259306445353	0.043115119847188	0.133844328569097
"ENSG00000233101"	19.7411252447456	2.24694691311952	1.48541147155146	1.51267642411073	0.130361870964648	0.283775536185239
"ENSG00000233218"	1.23447387754513	-2.25228405986869	1.859598522211	-1.21116683680238	0.225831469937068	0.40924789222098
"ENSG00000233332"	2.9264423322862	5.02587013800243	1.41617380956268	3.54890770049931	0.00038683264743263	0.00328807750317736
"ENSG00000233429"	15.5875654790535	7.41041926106423	1.55112982181742	4.77743329851116	1.77546916697769e-06	5.07073994088829e-05
"ENSG00000233476"	67.5756923679247	1.00770234006568	0.409116955700752	2.4631155615138	0.0137735514506582	0.0517595565040525
"ENSG00000233725"	15.8442118434151	3.35466356014055	1.46579651143516	2.2886284241842	0.0221009509394817	0.0766023251009222
"ENSG00000234129"	8.9118039100943	1.15063118338223	0.603501894454712	1.90659083915863	0.0565735922997385	0.163536619036491
"ENSG00000234449"	2.16656557890594	1.59545280792272	1.4153490797272	1.12725039410789	0.259636629274904	0.446700128439233
"ENSG00000234745"	10.5992004568398	-2.14136521038037	1.54134433027614	-1.38928412575841	0.164746369046245	0.328948972761717
"ENSG00000234899"	37.4641667727259	8.26172392339592	1.4172525810442	5.8293941629719	5.56289650471923e-09	3.61082554942684e-07
"ENSG00000234978"	26.1428313535126	0.51084765580807	0.909724126641029	0.561541285811855	0.574428593611324	0.736341141541267
"ENSG00000235034"	0.0761075205654002	-0.376141199142311	3.08457506014951	-0.121942631256339	0.902944452681806	NA
"ENSG00000235238"	5.3439269117972	-0.184057042302008	0.942750277405306	-0.195234142819433	0.845209651209708	0.913781060233275
"ENSG00000235432"	1.53162848331295	-1.23367929864195	2.38185714761002	-0.517948483971777	0.604494213000194	0.754560958185557
"ENSG00000235489"	1.62803647333471	0.385413436800846	0.968163208820587	0.398087257695275	0.690565866749908	0.807958023891104
"ENSG00000235565"	3.81049367062831	0.70009383589229	0.843150213752412	0.830331089849988	0.406351614830848	0.604433619609171
"ENSG00000235655"	249.917217296225	0.0529404970284668	0.543195942309304	0.0974611422968282	0.922360191235338	0.958610155083015
"ENSG00000235939"	12.8604011059632	-2.12744458457238	1.4771694658391	-1.44021700540899	0.149806013505535	0.308246379374502
"ENSG00000235994"	1.74627787225698	2.88369590351239	1.5043190697157	1.91694432488806	0.0552450051161587	0.160983356752164
"ENSG00000236008"	73.1199170570497	-2.64357093740817	1.04165725164798	-2.53785103807019	0.0111535447493847	0.0435171090221897
"ENSG00000236081"	120.736934113979	4.61076745987735	1.43898937674866	3.20417060360459	0.00135452187060074	0.0081960052170248
"ENSG00000236194"	1.81577800617921	2.83364527511903	1.11166684916229	2.54900582602994	0.0108030495516694	0.0424433791209808
"ENSG00000236444"	1.72081331628164	0.209496848899608	1.45551137451089	0.143933501701427	0.885552980590513	0.938108053622591
"ENSG00000236449"	39.9409889040091	-1.19646912123661	1.73080274620332	-0.691279883777156	0.489389670909094	0.663044070263934
"ENSG00000236548"	13.5542548608638	3.32716761560056	0.993788166444783	3.3479646145348	0.000814074049444752	0.00558893145484186
"ENSG00000236565"	61.2102000403521	-0.235495073604766	0.331131967825524	-0.711181934958484	0.47697150161769	0.654918561836597
"ENSG00000236699"	37.8258952836201	-2.50180868125295	1.34655223151005	-1.85793660484107	0.0631780174446545	0.174841490137532
"ENSG00000236761"	0.713135341339553	0.726371962301859	2.12461304026633	0.341884356603029	0.73243792267865	0.839027518615947
"ENSG00000236876"	0.594617136166823	-0.871363540562057	1.8188873795688	-0.479064042309552	0.631893069263337	0.771233592229099
"ENSG00000237037"	81.436073169836	-0.649259221057648	0.451540623730102	-1.4378755463777	0.15046936919526	0.308456119912812
"ENSG00000237070"	3.08087855488479	5.03935298926139	2.99626904937232	1.68187599518711	0.092592888382623	0.224868443214942
"ENSG00000237604"	3.34004223754281	2.51307746838658	1.3604005639789	1.84730698805088	0.0647026607419457	0.175666892038737
"ENSG00000237798"	9.07869155690074	-0.115054572125288	1.3160161861953	-0.0874264111127083	0.93033257671749	0.964089201416963
"ENSG00000237978"	34.4286487371719	-0.101068117331508	1.40218141994271	-0.0720792016596807	0.942538877837251	0.968956597310847
"ENSG00000239219"	0.533179093933975	1.33232767540488	1.73180623680273	0.769328373516329	0.441698397475058	0.630745311594383
"ENSG00000239264"	176.210084427129	1.11213753278821	0.748916005427293	1.4849963476928	0.13754479160458	0.29315516777812
"ENSG00000239322"	5.24439080835103	2.25992049236694	1.44076735669697	1.56855336974591	0.116752045014534	0.263940669430237
"ENSG00000239527"	0	0	0	0	1	NA
"ENSG00000239809"	0	0	0	0	1	NA
"ENSG00000240766"	1.32037652352205	3.77439796795679	3.00956273386475	1.25413500289787	0.209792939634108	0.38705984211564
"ENSG00000240891"	10.2609692914786	-0.975001058667676	1.78017124146328	-0.547700713256236	0.583897422302071	0.742036565084923
"ENSG00000240925"	1.65074113446284	-3.05345103014288	1.45764238095206	-2.09478749386288	0.0361898873344673	0.115577483001001
"ENSG00000240990"	85.4881173138565	6.26774636685014	1.98306123751726	3.16064186434162	0.00157421924714916	0.00906445598761696
"ENSG00000241666"	20.0246470088353	7.77281194589732	2.38929298926388	3.25318492994534	0.00114119201661959	0.00740737363514899
"ENSG00000241732"	7.9448739911324	6.43417006663901	1.82884696739914	3.51815662072003	0.00043455580495546	0.00360782377602556
"ENSG00000242320"	0.456645123392401	-2.27524384816945	3.04142164036033	-0.748085637971555	0.454408504278215	NA
"ENSG00000242715"	9.38199260414048	2.05430233013904	1.13874551469176	1.80400476105946	0.07123056058168	0.186295312290548
"ENSG00000242970"	0.550817262715657	-1.34332643322693	2.51289349394932	-0.534573564881068	0.592944767342638	0.745356626553949
"ENSG00000243404"	10.6479172216014	0.898107306340678	0.672766503414657	1.33494652569992	0.181893848762874	0.35291360874101
"ENSG00000243896"	3.48902785386772	0.57453191090772	0.95289198414448	0.602934981579831	0.546551943412683	0.716503959011794
"ENSG00000244383"	6.00003468524578	1.14358367085773	0.983409752931334	1.16287607220587	0.244879786843052	0.42853962697534
"ENSG00000244405"	2.61753815341166	4.85113769231813	1.72728014094663	2.80854134619963	0.00497664914993565	0.0235814509705574
"ENSG00000244693"	2.1120399294753	0.419605188846356	1.13767484516423	0.368826990092923	0.712256685629989	0.828259403159303
"ENSG00000244730"	4.00995902784315	-1.5993211367044	0.863445532329965	-1.85225480568382	0.0639892421665212	0.175051030294621
"ENSG00000245651"	2.34102263430501	3.7967493787153	1.73863784644887	2.18374941421531	0.0289806665605911	0.095355741586461
"ENSG00000245970"	0.568112903581113	-2.00107291024145	2.0236915480211	-0.9888230803742	0.322749709749273	0.510960737829227
"ENSG00000247728"	3.08087855488479	5.03935298926139	2.99626904937232	1.68187599518711	0.092592888382623	0.224868443214942
"ENSG00000248099"	16.9497588542904	0.384776059184401	1.26174782334467	0.304954803222429	0.760400575453422	0.850981208266055
"ENSG00000248278"	1.15933734385039	-0.361523579899796	1.13876908962723	-0.317468732856226	0.750887960889099	0.847116866030174
"ENSG00000248458"	3.83807222754768	5.35719178820157	2.08768991241383	2.5660859672438	0.0102853333454331	0.0412568989249396
"ENSG00000248498"	15.28912770859	3.80679177246537	1.53588006202736	2.47857359867046	0.0131908893939756	0.0500973139749923
"ENSG00000248778"	36.1641937001076	-2.15255023420903	1.1914105913247	-1.80672410492479	0.0708053073291538	0.185863931739029
"ENSG00000249264"	3.29819585605176	0.152433689260337	0.947886019926985	0.16081436592142	0.872239610137491	0.935761587160039
"ENSG00000249304"	2.41732022131364	3.74565369244668	1.97399990584054	1.89749436226632	0.0577627221591628	0.164970334486569
"ENSG00000249855"	2.9408060599715	-1.60835018103454	1.04493399918677	-1.53918829541987	0.123758334226642	0.275468817708907
"ENSG00000249916"	0.739097700268221	-2.04492110911124	2.06622415912854	-0.989689865001731	0.322325730295033	0.510960737829227
"ENSG00000250182"	1.21434015664074	1.06833970347529	1.07769835349174	0.991316076538368	0.321531265276318	0.510960737829227
"ENSG00000250328"	1.03356500113627	-2.09673903019313	1.58644522611478	-1.3216586338301	0.186281849164809	0.359473622442361
"ENSG00000250568"	0.89850453076874	-0.238089961520529	1.76784050306668	-0.13467841759905	0.892866137963082	0.941663844173768
"ENSG00000250620"	13.0753793000661	7.15985464258741	1.96393370608742	3.64567022827434	0.000266695802437006	0.00238026003675028
"ENSG00000250909"	12.5039978850831	-0.104988404754321	0.507072094451404	-0.207048279530955	0.835972153720489	0.908499418198522
"ENSG00000251161"	5.25660563881762	0.261417532481287	0.847038137386751	0.308625457276106	0.757606453497144	0.849185255568227
"ENSG00000251320"	10.652721220821	6.87413009942899	1.19036210523451	5.77482269403622	7.70341605806155e-09	4.23095312727381e-07
"ENSG00000251533"	19.6073645138982	-0.553443578864896	1.86253999020485	-0.297144534761923	0.766356165139755	0.856304071846299
"ENSG00000251639"	0.54378346192433	-2.55498313218603	3.03185273419743	-0.842713468028111	0.399388713015471	0.600344297037991
"ENSG00000253187"	286.174986772848	5.09496111030476	2.28367280219403	2.23103813532736	0.0256786030405393	0.0856753391165656
"ENSG00000253293"	210.808058336449	3.81809851129437	2.31001182475299	1.65284803756476	0.0983617946976447	0.232550733159332
"ENSG00000253364"	0.704748283015083	-2.8971287069061	2.44367016906447	-1.18556454286759	0.23579431169074	0.421319849274459
"ENSG00000253508"	11.098517969327	6.91257385977197	2.7002150216231	2.56000866761227	0.0104669552681775	0.0417508718518364
"ENSG00000253552"	84.6809076889337	7.97757329696146	2.41717461594892	3.3003711210287	0.000965570504291755	0.00640192084456439
"ENSG00000253649"	8.86271658502045	3.94240643535425	1.15346835128477	3.41787135378537	0.000631129306098689	0.00459822780157617
"ENSG00000253831"	38.6820240784433	8.30879832884948	1.85530636179821	4.47839693752593	7.52056638686084e-06	0.000153419554291961
"ENSG00000254027"	57.1912771167845	2.20464971200499	1.32956017864695	1.65817971041265	0.0972811987852115	0.230870300835459
"ENSG00000254148"	47.5147795725296	8.6049737159425	1.77624005663939	4.84448804303114	1.26938561889026e-06	3.77642221619852e-05
"ENSG00000254369"	304.012669414982	6.42078514489734	1.67433819046852	3.83481974038986	0.000125656414737066	0.00142410603368674
"ENSG00000254399"	0.609356112362891	2.21757395433567	2.49701638136424	0.888089469851258	0.374492626463604	0.571341314732934
"ENSG00000254607"	4.98879089260558	4.92169569486443	1.32352867335966	3.71861659964731	0.000200316823488607	0.00198647516626202
"ENSG00000254620"	1.53833818448926	0.487274427440914	1.70047200258447	0.286552455259675	0.774455023462061	0.862523427631717
"ENSG00000254680"	72.3880662111148	1.09473117001893	0.714172947219252	1.53286563749222	0.125308964023101	0.276564427072901
"ENSG00000254786"	2.77171709335121	2.52766099245566	1.65579759640785	1.5265519154873	0.126872471630337	0.277874063632088
"ENSG00000254839"	0.363208910581677	1.51315500563658	2.57196673518257	0.588326040511239	0.556313469992508	NA
"ENSG00000254877"	4.07419827243004	3.75955409705698	1.32333375183571	2.84097197085905	0.00449762652397486	0.0215523848195842
"ENSG00000254936"	1.76019187953567	2.36711636129895	2.21082657228743	1.07069292135828	0.284307526660647	0.474288724382481
"ENSG00000255112"	1092.39431460951	0.297255282264688	0.323232447373639	0.919633176310042	0.3577644835843	0.556522530020023
"ENSG00000255189"	7.15399406517087	2.62880761895695	1.16686386513315	2.25288287477905	0.024266534918792	0.0821151939906044
"ENSG00000255240"	86.8462945690512	4.3626956056052	1.43636369509363	3.0373196012315	0.00238692229580926	0.0129110796909683
"ENSG00000255310"	31.2968646217649	1.5345282695616	1.83028763920058	0.838408257093317	0.40180145359947	0.602269655218572
